数据源	车型	品牌	汽车厂商	类型	媒体大类	媒体中类	媒体名称	折算系数	省份	城市	UD-显示屏	UD-视频/非视频	FCA_SUVSeg	FCA_Region	FCA_KeyCom	FCA_Tier	Remark	年份	月份	折算花费（万元）
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	灯箱	1.5	上海	上海	户外屏	非视频	D SEDAN	BUX	None	T1		2020	2	309.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	灯箱	1.5	广东	广州	户外屏	非视频	D SEDAN	BUX	None	T1		2020	2	109.5
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	特殊位置灯箱	1.5	广东	深圳	户外屏	非视频	D SEDAN	BUX	None	T1		2020	2	28.5
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	特殊位置灯箱	1.5	四川	成都	户外屏	非视频	D SEDAN	BUX	None	T2		2020	2	9.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	特殊位置灯箱	1.5	湖南	长沙	户外屏	非视频	D SEDAN	BUX	None	T3		2020	2	39.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	特殊位置灯箱	1.5	重庆	重庆	户外屏	非视频	D SEDAN	BUX	None	T2		2020	2	45.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	特殊位置灯箱	1.5	江苏	南京	户外屏	非视频	D SEDAN	BUX	None	T2		2020	2	144.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	特殊位置灯箱	1.5	山东	济南	户外屏	非视频	D SEDAN	BUX	None	T3		2020	2	9.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	射灯广告牌	1.5	辽宁	沈阳	户外屏	非视频	D SEDAN	BUX	None	T2		2020	2	14.85
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	悬挂广告	1.5	江苏	南京	户外屏	非视频	D SEDAN	BUX	None	T2		2020	2	7.533
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	火车站	悬挂广告	1.5	山东	济南	户外屏	非视频	D SEDAN	BUX	None	T3		2020	2	37.5
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	单一媒体	无照明广告牌	1.5	上海	上海	户外屏	非视频	D SEDAN	BUX	None	T1		2020	2	118.8
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	单一媒体	射灯广告牌	1.5	广东	深圳	户外屏	非视频	D SEDAN	BUX	None	T1		2020	2	60.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	机场	灯箱	1.5	山西	太原	户外屏	非视频	D SEDAN	BUX	None	T3		2020	2	9.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	机场	特殊位置灯箱	1.5	广东	广州	户外屏	非视频	D SEDAN	BUX	None	T1		2020	2	44.25
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	机场	特殊位置灯箱	1.5	四川	成都	户外屏	非视频	D SEDAN	BUX	None	T2		2020	2	124.8
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	机场	特殊位置灯箱	1.5	黑龙江	哈尔滨	户外屏	非视频	D SEDAN	BUX	None	T2		2020	2	15.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	机场	特殊位置灯箱	1.5	湖南	长沙	户外屏	非视频	D SEDAN	BUX	None	T3		2020	2	15.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	机场	特殊位置灯箱	1.5	福建	厦门	户外屏	非视频	D SEDAN	BUX	None	T3		2020	2	26.235
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	机场	特殊位置灯箱	1.5	山东	青岛	户外屏	非视频	D SEDAN	BUX	None	T3		2020	2	144.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	机场	特殊位置灯箱	1.5	陕西	西安	户外屏	非视频	D SEDAN	BUX	None	T2		2020	2	99.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	机场	柱子广告	1.5	四川	成都	户外屏	非视频	D SEDAN	BUX	None	T2		2020	2	30.0
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	广东	东莞	户外屏	视频	D SEDAN	BUX	None	T3		2020	2	49.34832
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	广东	佛山	户外屏	视频	D SEDAN	BUX	None	T3		2020	2	24.472
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	广东	深圳	户外屏	视频	D SEDAN	BUX	None	T1		2020	2	267.24544000000003
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	广东	珠海	户外屏	视频	D SEDAN	BUX	None	T4		2020	2	30.31168
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	吉林	长春	户外屏	视频	D SEDAN	BUX	None	T3		2020	2	42.1876
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	四川	成都	户外屏	视频	D SEDAN	BUX	None	T2		2020	2	78.96
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	黑龙江	哈尔滨	户外屏	视频	D SEDAN	BUX	None	T2		2020	2	43.6128
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	辽宁	大连	户外屏	视频	D SEDAN	BUX	None	T3		2020	2	86.06752
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	辽宁	沈阳	户外屏	视频	D SEDAN	BUX	None	T2		2020	2	48.25912
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	湖南	长沙	户外屏	视频	D SEDAN	BUX	None	T3		2020	2	115.19088
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	重庆	重庆	户外屏	视频	D SEDAN	BUX	None	T2		2020	2	178.55936
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	福建	福州	户外屏	视频	D SEDAN	BUX	None	T3		2020	2	18.506880000000002
CODC	沃尔沃S60	沃尔沃	沃尔沃(进口)	中型车	户外	视频媒体	楼宇液晶	0.4	福建	厦门	户外屏	视频	D SEDAN	BUX	None	T3		2020	2	24.92952
